transaction_id,suspicion_reason,score
21321533,Very high value for the same user; Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,6
21320575,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320586,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320602,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320817,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320844,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320854,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320863,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320870,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320872,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321107,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321121,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321122,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321125,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321126,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321127,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321129,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321132,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321142,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321147,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321153,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321156,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321158,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321159,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321174,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321180,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321196,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321203,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321210,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321216,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321226,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321236,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321253,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321258,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321447,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321452,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321453,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321455,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321486,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321494,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321505,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321539,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321670,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321676,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321687,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321691,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321781,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21321821,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322050,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322059,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322063,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322067,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322090,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322105,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322200,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322413,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322414,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322421,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322441,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322443,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322447,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322458,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322621,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21322672,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323320,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323321,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323325,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323326,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323327,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323328,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323329,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323330,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21323331,Fast transactions on different devices; Transaction at an unusual hour compared to the last 10 purchases; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,5
21320406,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320407,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320411,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320426,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320430,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320432,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320454,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320498,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320507,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320517,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320522,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320526,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320533,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320546,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320570,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320595,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320611,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320614,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320629,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320631,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320649,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320661,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320688,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320710,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320718,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320721,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320726,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320727,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320729,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320735,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320736,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320759,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320801,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320803,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320823,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320838,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320859,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320866,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320879,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320880,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320885,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320907,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320916,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320922,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320931,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320941,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320946,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320967,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320975,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320981,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21320994,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21321001,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21321002,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21321011,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21321018,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
21321029,Fast transactions on different devices; Chargeback detected; Merchant with more than 2% chargeback in the history; Card with more than 2% chargeback in the history; ,4
